ParticipantID,List_7,List_30,List_180,List_365,List_1825,List_5475,Indiff_Avg,k_7,k_30,k_180,k_365,k_1825,k_5475,k_avg,ln_k
DelayDiscountingTitrated-1084-1,199.0,999.0,981.0,999.0,996.0,877.0,841.8333333333334,0.5750179468772434,3.33667000333667e-05,0.00010759995469475592,2.7424684958931536e-06,2.200583154535952e-06,2.561659455491167e-05,0.09586491219636283,-2.3448152431214195
DelayDiscountingTitrated-1079-1,199.0,861.0,479.0,447.0,655.0,40.0,446.8333333333333,0.5750179468772434,0.0053813395276809915,0.006042681512410114,0.0033894149734914653,0.000288612360138032,0.004383561643835616,0.09908392614913325,-2.311788049095068
DelayDiscountingTitrated Backup1-3145-1,938.0,473.0,189.0,99.0,30.0,9.0,289.6666666666667,0.009442583003350593,0.037138830162085974,0.023838918283362726,0.024934274249342744,0.01771689497716895,0.020111618467782852,0.022197186523848972,-3.807789731295185
DelayDiscountingTitrated Backup1-3100-1,994.0,925.0,899.0,749.0,801.0,701.0,844.8333333333334,0.0008623167576889911,0.002702702702702703,0.0006241502904461748,0.0009181191360169724,0.0001361312058556941,7.790566639959875e-05,0.0008868876265183556,-7.027792273062259
DelayDiscountingTitrated Backup1-3058-1,999.0,999.0,915.0,199.0,83.0,99.0,549.0,0.000143000143000143,3.33667000333667e-05,0.0005160898603521555,0.011027741446960832,0.006053804258128404,0.001662284949956183,0.0032393812264051806,-5.732372946921381
DelayDiscountingTitrated-2113-1,199.0,99.0,13.0,401.0,9.0,4.0,120.83333333333333,0.5750179468772434,0.30336700336700334,0.4217948717948718,0.0040925084548901714,0.060334855403348556,0.04547945205479452,0.23501443965869195,-1.4481083213695307
DelayDiscountingTitrated-3156-1,899.0,375.0,199.0,201.0,99.0,51.0,304.0,0.01604957889718735,0.05555555555555555,0.02236180904522613,0.010890751720847816,0.0049868548498685486,0.0033986928104575162,0.018873873813190483,-3.969976651153439
DelayDiscountingTitrated-3113-1,913.0,749.0,889.0,375.0,675.0,75.0,612.6666666666666,0.01361289313096542,0.011170449488206497,0.000693663292088489,0.0045662100456621,0.00026382546930492134,0.0022526636225266364,0.005426617508125678,-5.216439265816082
DelayDiscountingTitrated Backup1-3098-1,998.0,992.0,998.0,387.0,699.0,249.0,720.5,0.000286286859433152,0.00026881720430107527,1.11333778668448e-05,0.004339669392233903,0.00023595351480588708,0.0005508793163521667,0.0009487899441655048,-6.960323128253469
DelayDiscountingTitrated Backup1-1012-1,943.0,743.0,435.0,445.0,289.0,341.0,532.6666666666666,0.008635055294652326,0.011529834006280843,0.0072158365261813535,0.003416961674619055,0.0013480589657297246,0.000352977409981387,0.005416453979574115,-5.2183139249547965
DelayDiscountingTitrated Backup1-3020-1,999.0,975.0,699.0,73.0,489.0,37.0,545.3333333333334,0.000143000143000143,0.0008547008547008547,0.0023923064695596883,0.034790767498592605,0.0005725971370143149,0.004753794890781192,0.007251194498941467,-4.926589065212055
DelayDiscountingTitrated-3033-1,996.0,969.0,983.0,875.0,239.0,375.0,739.5,0.0005737234652897303,0.001066391468868249,9.607776647451113e-05,0.0003913894324853229,0.0017447125580328997,0.00030441400304414006,0.0006961181156991421,-7.269991205564083
DelayDiscountingTitrated-3076-1,975.0,749.0,599.0,875.0,699.0,497.0,732.3333333333334,0.003663003663003663,0.011170449488206497,0.00371916156557225,0.0003913894324853229,0.00023595351480588708,0.00018485341271372527,0.0032274685127978912,-5.7360571912018665
DelayDiscountingTitrated-2076-1,751.0,245.0,49.0,951.0,16.0,201.0,368.8333333333333,0.04736541753852007,0.10272108843537416,0.10782312925170068,0.00014116359131699868,0.033698630136986304,0.0007260501147231878,0.04874591317810357,-3.0211339172964293
DelayDiscountingTitrated Backup1-2041-1,998.0,989.0,951.0,449.0,31.0,6.0,570.6666666666666,0.000286286859433152,0.0003707448601280755,0.000286248393503914,0.003362113677273698,0.01712770658418029,0.03025875190258752,0.008615308712851108,-4.754214575302885
